Date,Open,High,Low,Close,Adj Close,Volume
2000-03-22,1.9921879768371582,2.0520830154418945,1.9583330154418945,1.9908850193023682,1.8262431621551514,23059200
2000-03-23,1.972656011581421,2.1354169845581055,1.96875,2.0260419845581055,1.8584928512573242,30940800
2000-03-24,2.0130209922790527,2.1041669845581055,1.875,1.941406011581421,1.7808560132980347,23160000
2000-03-27,1.9375,2.0,1.796875,1.8138020038604736,1.663804531097412,38894400
2000-03-28,1.7513020038604736,1.7708330154418945,1.6458330154418945,1.6783850193023682,1.539585828781128,39331200
2000-03-29,1.6848959922790527,1.7239580154418945,1.5,1.5677080154418945,1.4380618333816528,46944000
2000-03-30,1.5208330154418945,1.703125,1.46875,1.558593988418579,1.4297012090682983,36192000
2000-03-31,1.6650389432907104,1.8307290077209473,1.6354169845581055,1.760090947151184,1.6145352125167847,96297600
2000-04-03,1.7441409826278687,1.75,1.5768229961395264,1.6223959922790527,1.488227367401123,32995200
2000-04-04,1.7083330154418945,1.7369790077209473,1.1875,1.5625,1.4332849979400635,51379200
2000-04-05,1.578125,2.03125,1.4973959922790527,1.910156011581421,1.7521902322769165,63960000
2000-04-06,1.9986979961395264,2.100260019302368,1.9036459922790527,1.9986979961395264,1.8334100246429443,40459200
2000-04-07,2.0989580154418945,2.1875,2.0104169845581055,2.136718988418579,1.9600176811218262,31857600
2000-04-10,2.1731770038604736,2.2994790077209473,1.9075520038604736,1.9479169845581055,1.7868285179138184,39528000
2000-04-11,1.8121739625930786,1.9791669845581055,1.6666669845581055,1.832031011581421,1.680526614189148,45758400
2000-04-12,1.8346350193023682,1.875,1.6354169845581055,1.6419270038604736,1.5061432123184204,31344000
2000-04-13,1.6549479961395264,1.7135419845581055,1.5442709922790527,1.5716149806976318,1.4416459798812866,31329600
2000-04-14,1.4713540077209473,1.5846350193023682,1.3645830154418945,1.4332679510116577,1.314739465713501,42192000
2000-04-17,1.3125,1.5625,1.3125,1.5065100193023682,1.3819249868392944,29409600
2000-04-18,1.6582030057907104,1.8697919845581055,1.609375,1.7734379768371582,1.626778244972229,47750400
2000-04-19,1.8294270038604736,1.8541669845581055,1.6666669845581055,1.6888020038604736,1.5491416454315186,27835200
2000-04-20,1.734375,1.7669270038604736,1.65625,1.6796879768371582,1.5407816171646118,15393600
2000-04-24,1.5833330154418945,1.6536459922790527,1.5130209922790527,1.5963540077209473,1.4643391370773315,20596800
2000-04-25,1.667968988418579,1.8229169845581055,1.6640629768371582,1.7708330154418945,1.6243892908096313,24969600
2000-04-26,1.894531011581421,1.9375,1.75,1.7526040077209473,1.6076676845550537,25411200
2000-04-27,1.6354169845581055,1.9140629768371582,1.6263020038604736,1.8958330154418945,1.7390516996383667,28099200
2000-04-28,1.925781011581421,2.0,1.8567709922790527,1.8567709922790527,1.703220009803772,17904000
2000-05-01,1.9270830154418945,1.96875,1.871093988418579,1.9166669845581055,1.7581626176834106,11942400
2000-05-02,1.9166669845581055,2.0286459922790527,1.7890629768371582,1.8424479961395264,1.6900813579559326,23400000
2000-05-03,1.8307290077209473,1.890625,1.6666669845581055,1.8125,1.6626100540161133,32918400
2000-05-04,1.808593988418579,1.9114580154418945,1.792968988418579,1.8346350193023682,1.6829148530960083,24120000
2000-05-05,1.8268229961395264,1.9635419845581055,1.8020830154418945,1.9192709922790527,1.7605516910552979,17059200
2000-05-08,1.8697919845581055,1.9375,1.8463540077209473,1.8489580154418945,1.696053147315979,18513600
2000-05-09,1.8802080154418945,1.8958330154418945,1.7708330154418945,1.8229169845581055,1.6721653938293457,17683200
2000-05-10,1.8046879768371582,1.8059899806976318,1.6276040077209473,1.6432290077209473,1.5073374509811401,27408000
2000-05-11,1.6666669845581055,1.7434899806976318,1.644531011581421,1.7135419845581055,1.571835994720459,24590400
